,File_name,Count
0,pg34164.txt,0
1,pg38685.txt,0
2,pg7171.txt,33
3,pg9746.txt,889
4,pg2919Galsw5.txt,1677
5,pg38625.txt,1855
6,pg37838.txt,3075
7,pg15317.txt,4046
8,pg1422.txt,5170
9,pg34662.txt,5355
10,pg11931.txt,5542
11,pg27709.txt,6024
12,pg7759.txt,6400
13,pg47997.txt,6602
14,pg5662.txt,6882
15,pg726.txt,7171
16,pg37451.txt,7174
17,pg4763CarolLogik.txt,8085
18,pg19257.txt,8493
19,pg6297.txt,8561
20,pg8073.txt,8643
21,pg7757.txt,8669
22,pg7758.txt,8851
23,pg22208.txt,9124
24,pg31083.txt,9338
25,pg23420.txt,9895
26,pg23223.txt,9976
27,pg41490.txt,9978
28,pg1392.txt,10122
29,pg7760.txt,10218
30,pg16719.txt,10247
31,pg23222.txt,10457
32,pg22271.txt,10758
33,pg20257.txt,10958
34,pg22476.txt,11163
35,pg23009.txt,11214
36,pg2911Galsw2.txt,11452
37,pg29891.txt,12025
38,pg1253.txt,12132
39,pg4765Galsw3.txt,12595
40,pg23632.txt,13073
41,pg45104.txt,13347
42,pg43080.txt,13373
43,pg525.txt,13489
44,pg1836.txt,13704
45,pg22273.txt,13888
46,pg1273.txt,14024
47,pg19472.txt,14108
48,pg38715.txt,14366
49,pg1190.txt,14588
50,pg45818.txt,14768
51,pg22206.txt,15007
52,pg1833.txt,15092
53,pg1834.txt,15358
54,pg9387.txt,15594
55,pg23630.txt,16017
56,pg1875.txt,16218
57,pg7119.txt,16772
58,pg23629.txt,16893
59,pg98DickensTaleCities.txt,17590
60,pg6293.txt,17756
61,pg1032.txt,17776
62,pg10812.txt,17883
63,pg29808.txt,18001
64,pg1835.txt,18064
65,pg33695.txt,18204
66,pg23633.txt,18283
67,pg5236.txt,18314
68,pg15179.txt,18618
69,pg40926.txt,18861
70,pg23010.txt,19227
71,pg45042.txt,19235
72,pg18434.txt,19417
73,pg23012.txt,19626
74,pg17241.txt,20041
75,pg5663.txt,20082
76,pg22660.txt,20087
77,pg22274.txt,20496
78,pg15181.txt,20561
79,pg42581.txt,21164
80,pg15793.txt,21344
81,pg16345.txt,21352
82,pg8386.txt,21706
83,pg35441.txt,22262
84,pg5848.txt,22436
85,pg22207.txt,22456
86,pg4046.txt,22517
87,pg8383.txt,22633
